자치구명,시설구분,주소,위도,경도
강서구,김포공항화물청사 1층,"하늘길 111, 김포공항화물청사 1층 옥외의 일부",37.5605245028427?,126.804596
강서구,김포공항국제선,"하늘길 38, 김포공항국제선 옥외의 일부",37.5713695798026?,126.802960
강서구,김포공항국제선,"하늘길 111, 김포공항국내선 옥외의 일부",37.5605245028427?,126.804596
광진구,광진 경찰서,광진구 자양로 167,37.5429114164928?,127.083902
광진구,광진소방서 본관 1층 전면,광진구 광나루로 480,37.5448260218652?,127.082779
광진구,광진소방서 본관 1층 전면,광진구 광나루로 481,37.5443273?,127.086348
광진구,엘디코리아 우측,광진구 자양로 76,37.5356010287361?,127.087307
광진구,엘디코리아 우측,광진구 자양로 77,37.5346281?,127.083695
광진구,엘디코리아 우측,광진구 자양로 78,37.5338739?,127.066172
광진구,엘디코리아 좌측,광진구 자양로 79,37.5337203?,127.065382
광진구,엘디코리아 좌측,광진구 자양로 80,37.5350103589243?,127.084547
광진구,덕산빌딩,광진구 자양로 81,37.5351324957877?,127.083843
광진구,덕산빌딩,광진구 자양로 82,37.5333071?,127.064700
광진구,광진 우체국,광진구 구의동 587,37.5372634939351?,127.090146
광진구,광진구청 전기차충전소,광진구 자양1동777,37.5383979954125?,127.082429
광진구,광진구청 전기차충전소,광진구 자양1동778,37.531692?,127.074516
광진구,타워모스트광진아크로텔오피스텔,광진구 자양1동779,37.5375239543766?,127.082272
광진구,정보화교육센터,광진구 화양동 132-68,37.5462710059779?,127.070480
광진구,아리수본부 (서울물연구원),광진구 천호대로 716-10,37.5466126740221?,127.092066
광진구,아리수본부 (서울물연구원),광진구 천호대로 716-11,37.5478556?,127.093076
광진구,화양지구대 화장실 근처,능동로17길39,37.5465267774587?,127.071268
광진구,광나루지구대,아차산로 567,37.5444546646191?,127.103317
광진구,능동119 안전센터,능동로242,37.5516748979298?,127.077014
광진구,광진소방서 본관 1층 전면,광나루로480,37.5448260218652?,127.082779
광진구,광진소방서 본관 1층 전면,광나루로481,37.5443273?,127.086348
광진구,푸른초장교회 건너편,광진구 강변북로 26,37.5321487?,127.080735
광진구,리치하우스,천호대로 731,37.5398708?,127.145264
광진구,국립정신건강센터,서울 광진구 용마산로 127,37.5650862337223?,127.085777
광진구,세종대 홍진구조실험센터,능동로 209,37.5516093089619?,127.073184
광진구,어린이대공원역,능동로 211,37.550113?,127.077106
광진구,서울어린이대공원 서문,능동로 216,37.5520117940291?,127.078770
광진구,생생한방병원,"서울특별시 광진구 동일로 82-1, 생생한방병원 지하1~5층 (자양동)",37.5399452105408?,127.063098
광진구,서울 프라임병원,"서울특별시 광진구 동일로 92-1, B1~2, 3~7층 (자양동)",37.5408266646495?,127.063590
광진구,국립정신건강센터,서울특별시 광진구 용마산로 127,37.5650862337223?,127.085777
광진구,세종대 홍진구조실험센터,능동로 209,37.5516093089619?,127.073184
광진구,리틀엔젤스예술단 주차장,천호대로 664,37.5509798002896?,127.087095
광진구,건국대학교 공연장,능동로 120,37.539182674872?,127.074712
광진구,세종대학교 홍진구조 실험센터,아차산로 272(자양동)(지하 1층),37.5385582736952?,127.072996
광진구,롯데백화점 건대스타시티점,능동로 92(자양동)(지하6~지상10),37.5390373908314?,127.071432
광진구,커먼그라운드,아차산로 200  (자양동)(지하1~지상4),37.5410566332301?,127.065669
광진구,강변 테크노마트,광나루로56길  85(구의동)(지하1~지상9),37.535725176732?,127.095692
광진구,사파이어빌라,서울특별시 광진구 워커힐로 177 ,37.5586287308609?,127.111707
광진구,사파이어빌라,서울특별시 광진구 워커힐로 178 ,37.549277,127.101200
광진구,호텔 더디자이너스 건대점,서울특별시 광진구 천호대로 521,37.558661,127.076600
광진구,호텔컬리넌,서울특별시 광진구 동일로 214 ,37.550814,127.069177
광진구,호텔 더디자이너스 프리미어,서울특별시 광진구 동일로 172,37.547345,127.067296
광진구,호텔 더디자이너스 프리미어,서울특별시 광진구 동일로 173,37.553789,127.070915
광진구,매일온천 사우나,서울특별시 광진구 자양로53길 109 (중곡동),37.556915,127.089194
광진구,실로암 사우나 목욕탕,"서울특별시 광진구 용마산로 171, 지하1~지상2층 (중곡동)",37.569037,127.085536
광진구,프라임 노다지 사우나,"서울특별시 광진구 광나루로56길 63, 지층 (구의동, 프라임프라자상가)",37.536789,127.096161
광진구,지하1층 사우나,"서울특별시 광진구 용마산로 44, 지하1층 (중곡동)",37.557469,127.088244
광진구,칠산 24시 불가마사우나,서울특별시 광진구 자양로 135 (자양동),37.539859,127.082948
광진구,강변 스파랜드,서울특별시 광진구 구의강변로 45 (구의동),37.534885,127.091307
광진구,동방대중 사우나,서울특별시 광진구 구의강변로 46 (구의동),37.534793,127.092027
광진구,사파이어빌라,서울특별시 광진구 워커힐로 177 (광장동),37.558629,127.111707
광진구,중일가든,서울특별시 광진구 아차산로76가길 4 (광장동),37.547524,127.107499
광진구,신설설농탕,"서울특별시 광진구 천호대로 813 (광장동,7,8,9 호 1F)",37.545617,127.104136
광진구,코마찌,"서울특별시 광진구 아차산로76길 19 (광장동,(3층))",37.547346,127.108051
광진구,미림장충왕족발보쌈,서울특별시 광진구 자양로18길 11 (구의동),37.537669,127.084158
광진구,대포집,"서울특별시 광진구 자양로18길 53, 2층 (구의동)",37.538183,127.086384
광진구,콴차이,"서울특별시 광진구 자양로18길 17, 2층 (구의동)",37.537753,127.084498
광진구,아차산통닭,"서울특별시 광진구 천호대로 659, 2층 (구의동)",37.552304,127.089928
광진구,일반음식점,서울특별시 광진구 천호대로 682 (구의동),37.550105,127.090276
광진구,망향 비빔국수,"서울특별시 광진구 천호대로 694 (구의동,(1층))",37.549314,127.091239
